Edad;Sexoedad;Ano;101;102;103;104;105;106;107;108;109;110;201;202;203;204;205;206;207;208;209;210;211;212;213;214;301;302;303;304;306;307;308;309;401;402;403;404;405;406;407;501;502;503;504;505;506;507;508;509;510;511;512;513;514;601;602;603;604;605;606;607;608;609;610;611;612;613;614;615;616;Sexo;Edad
H15a44(02);H15a44;2002;46;199;86;19;56;76;1;1273;238;80;199;67;55;67;31;67;29;1;0;9;76;423;376;73;25;74;602;241;39;382;1;0;0;0;0;0;0;0;0;3331;52;280;22;75;412;48;47;8;629;1345;24063;226;1127;182;75;17;385;90;6;13;123;55;174;278;160;0;0;54;227;Hombre;15a44
M15a44(02);M15a44;2002;22;143;40;7;48;65;1;327;151;59;178;66;53;57;31;67;20;303;496;0;124;306;318;81;54;78;305;182;46;385;2;0;0;0;0;0;0;0;0;676;6;20;0;6;60;22;11;12;89;437;1880;15;197;159;55;6;264;70;6;10;98;32;73;186;165;0;561;68;440;Mujer;15a44
H45a64(02);H45a64;2002;53;319;54;22;58;87;2;344;280;75;810;169;219;268;145;618;125;4;0;220;120;389;704;132;28;438;3160;445;207;1308;16;0;0;0;0;0;0;0;0;1061;26;250;10;10;77;15;22;8;256;287;3651;5;291;871;103;10;222;625;1;29;169;104;565;550;329;10;0;14;257;Hombre;45a64
M45a64(02);M45a64;2002;38;114;34;10;32;76;2;61;206;42;468;222;168;424;139;388;52;820;936;0;337;273;643;125;62;389;1700;389;164;1450;11;0;0;0;0;0;0;0;0;275;1;33;0;1;6;7;3;9;46;49;323;0;50;954;72;3;164;505;2;15;119;89;214;460;274;0;6;13;328;Mujer;45a64
H65(02);H65;2002;188;325;49;13;46;262;3;45;1249;92;1531;328;477;538;266;1253;256;9;0;1810;276;476;1170;193;46;2039;8765;1294;1097;4370;99;0;0;0;0;0;0;0;0;664;0;228;1;3;49;13;5;24;191;131;534;1;180;1937;419;23;335;3975;7;88;478;295;562;1622;1093;135;0;9;748;Hombre;65
M65(02);M65;2002;224;166;28;14;44;322;1;6;1356;77;1078;529;341;836;327;754;101;580;763;0;401;455;1253;224;57;2499;8202;1474;1219;5560;139;0;0;0;0;0;0;0;0;248;0;109;1;0;15;14;5;30;134;14;77;0;94;2972;476;34;360;3209;6;117;485;316;401;1704;964;0;0;7;1193;Mujer;65
H1(03);H1;2003;375;4;10;6;73;92;10;22;471;29;0;0;0;1;0;0;1;0;0;0;1;10;5;7;0;0;1;31;8;23;0;0;120;372;131;1873;342;29;598;16;0;4;0;0;8;3;1;0;153;0;25;0;16;1;227;0;65;12;0;48;94;23;4;53;20;0;0;1278;57;Hombre;1
M1(03);M1;2003;277;6;9;8;67;59;13;16;364;27;0;0;0;3;0;0;0;0;0;0;1;10;4;6;1;1;3;23;7;22;0;3;81;262;105;1377;309;25;455;11;0;2;1;1;5;6;0;2;90;0;23;1;15;2;189;0;51;11;1;30;50;9;8;30;17;0;0;1018;41;Mujer;1
H1a4(03);H1a4;2003;130;11;14;2;30;25;0;5;170;32;1;0;0;4;1;1;0;0;0;0;6;40;32;16;0;1;1;26;4;10;0;2;0;0;0;1;0;0;0;95;1;24;0;0;138;17;13;0;87;0;32;0;39;2;122;0;68;18;1;18;37;9;7;35;20;0;0;99;45;Hombre;1a4
M1a4(03);M1a4;2003;118;8;16;2;31;22;0;6;158;17;0;0;0;4;0;1;2;0;0;0;9;44;16;12;0;0;1;25;5;7;0;2;0;0;0;1;0;0;1;75;0;7;0;3;67;10;9;1;57;0;25;1;34;0;134;0;59;17;0;11;29;10;3;20;16;0;0;116;34;Mujer;1a4
H5a14(03);H5a14;2003;15;7;15;5;24;20;0;5;66;26;2;0;2;1;0;2;3;0;0;0;8;127;69;19;6;2;5;10;7;33;1;3;0;0;0;0;0;0;0;316;3;31;5;8;143;12;6;0;106;35;181;1;51;2;31;0;96;11;3;4;27;11;6;23;20;0;0;46;48;Hombre;5a14
M5a14(03);M5a14;2003;14;12;14;3;23;19;0;5;69;17;1;1;2;2;0;0;0;0;0;0;5;97;55;10;2;4;4;29;4;34;0;6;0;0;0;0;0;0;0;156;0;16;0;3;50;10;0;0;40;47;93;5;28;7;19;1;74;6;0;10;18;12;4;20;27;0;3;45;56;Mujer;5a14
H15a44(03);H15a44;2003;51;186;87;9;65;75;4;1252;266;89;233;73;50;69;42;72;18;2;0;17;86;396;344;68;21;68;606;215;59;354;5;72;1;0;0;0;0;0;0;3011;51;272;24;69;455;47;48;4;673;1194;18962;369;1055;153;77;11;366;99;4;23;130;69;123;264;204;1;0;67;214;Hombre;15a44
M15a44(03);M15a44;2003;34;119;44;6;39;51;2;361;156;45;151;74;52;64;19;63;19;317;452;0;118;291;362;69;53;73;267;195;51;361;2;61;0;0;0;0;0;0;0;647;5;31;2;3;49;14;17;7;94;449;1589;26;184;154;52;4;263;77;4;13;108;37;56;207;172;0;520;62;403;Mujer;15a44
H45a64(03);H45a64;2003;47;284;67;13;51;111;2;391;359;86;774;203;215;327;161;632;105;1;0;242;160;396;755;128;31;397;3180;451;258;1349;13;265;0;0;0;0;0;0;0;1037;12;235;8;7;75;17;11;7;257;319;3033;3;290;936;92;13;192;686;7;37;185;109;562;564;367;12;0;12;250;Hombre;45a64
M45a64(03);M45a64;2003;43;106;28;9;44;71;0;80;248;43;431;229;151;420;161;390;52;908;925;0;335;347;708;114;53;375;1742;460;167;1442;6;152;0;0;0;0;0;0;0;289;0;39;0;0;12;4;2;8;66;60;326;0;56;1056;72;5;170;554;3;21;166;74;199;469;366;0;7;22;330;Mujer;45a64
H65(03);H65;2003;185;362;32;21;53;260;2;40;1580;72;1613;382;499;569;251;1275;227;4;0;1940;289;500;1230;197;24;2142;9094;1391;1331;4524;97;826;0;0;0;0;0;0;0;688;1;261;4;1;41;10;9;16;173;147;496;3;224;2101;476;34;391;4696;12;114;559;300;577;1719;1251;135;0;8;831;Hombre;65
M65(03);M65;2003;228;182;25;8;42;278;0;10;1682;83;1169;559;431;812;348;864;97;617;806;0;463;457;1256;224;54;2470;8459;1491;1367;5696;135;652;0;0;0;0;0;0;0;264;0;151;0;0;10;10;3;18;126;20;68;0;107;3115;581;37;341;3851;8;160;549;374;422;1879;1139;0;0;5;1131;Mujer;65
H1(04);H1;2004;296;3;11;3;80;101;11;13;455;27;0;0;0;1;0;1;0;0;0;0;1;5;7;3;1;1;1;28;7;9;0;0;110;354;79;1568;589;21;585;15;0;8;0;0;11;4;3;0;133;0;22;0;24;1;207;0;51;12;1;53;82;30;3;56;28;0;0;1335;47;Hombre;1
M1(04);M1;2004;224;5;7;8;55;94;6;15;391;26;0;0;0;1;0;1;0;0;0;0;1;8;3;6;0;0;0;31;11;17;0;2;72;217;71;1230;403;13;445;12;0;2;0;0;3;6;5;0;98;0;22;0;20;1;172;0;36;11;2;38;48;11;8;37;20;0;0;1043;35;Mujer;1
H1a4(04);H1a4;2004;102;11;12;1;30;29;0;8;162;27;0;0;0;1;0;0;0;0;0;0;8;40;38;11;0;0;2;16;7;19;0;1;1;0;0;0;0;0;0;88;0;19;1;3;141;13;14;1;77;0;31;0;51;1;111;0;71;13;0;9;24;16;4;22;24;0;0;108;28;Hombre;1a4
M1a4(04);M1a4;2004;93;8;11;1;29;16;1;11;135;22;0;0;0;2;0;1;0;0;0;0;7;54;38;11;0;0;1;25;7;11;0;0;0;0;0;0;0;0;2;61;0;16;1;1;66;10;4;0;68;0;20;0;22;5;105;0;49;18;3;7;27;9;3;25;22;0;0;101;20;Mujer;1a4
H5a14(04);H5a14;2004;12;3;12;3;27;21;0;12;74;17;2;1;1;2;0;7;1;0;0;0;7;119;70;13;2;2;2;15;8;21;0;4;0;0;0;1;0;0;0;285;0;27;4;7;149;8;2;0;102;56;145;3;65;3;18;0;67;13;0;13;12;8;4;17;22;0;0;37;54;Hombre;5a14
M5a14(04);M5a14;2004;10;4;13;2;19;18;0;6;86;14;2;1;0;1;0;4;1;0;0;0;6;79;48;13;2;2;0;24;7;21;0;6;0;0;0;0;0;0;0;131;0;13;2;3;51;5;1;0;40;41;67;1;25;7;26;1;71;11;0;9;14;5;4;17;18;0;7;47;51;Mujer;5a14
H15a44(04);H15a44;2004;38;177;59;11;75;81;5;1342;283;91;200;58;49;73;19;113;16;2;0;7;77;401;366;75;20;60;604;215;55;339;2;70;0;0;0;0;0;0;0;2916;25;298;26;66;469;28;67;4;695;1195;16542;407;1075;176;49;2;366;97;6;34;118;41;137;257;197;0;0;69;211;Hombre;15a44
M15a44(04);M15a44;2004;24;114;33;7;45;71;2;390;179;52;172;97;36;73;28;85;11;304;415;0;114;269;302;82;34;58;258;189;45;334;0;50;0;0;0;0;0;0;0;619;5;24;2;4;53;10;10;12;83;388;1329;31;165;136;46;1;234;78;1;18;96;41;52;223;183;0;523;62;399;Mujer;15a44
